"Id","Class","Label","Direction","Intersection"
"LOC401040","gene","LOC401040","Down-regulated","CMV_eg"
"LOC728392","gene","LOC728392","Down-regulated","CMV_eg"
"LOXL1","gene","LOXL1","Down-regulated","CMV_eg_AND_HIV_eg"
"LRP2","gene","LRP2","Down-regulated","CMV_eg_AND_HIV_eg"
"LRP5","gene","LRP5","Down-regulated","CMV_eg"
"LRRN3","gene","LRRN3","Down-regulated","CMV_eg"
"LTBP2","gene","LTBP2","Down-regulated","CMV_eg_AND_CMV_T"
"MAGED4B","gene","MAGED4B","Down-regulated","CMV_eg"
"MAP7D2","gene","MAP7D2","Down-regulated","CMV_eg"
"MAPK4","gene","MAPK4","Down-regulated","CMV_eg"
"MATN2","gene","MATN2","Down-regulated","CMV_eg_AND_HIV_eg"
"MBNL3","Placenta_179","MBNL3","Down-regulated","CMV_eg_AND_CMV_T"
"MEOX2","Placenta_179","MEOX2","Down-regulated","CMV_eg_AND_HIV_eg"
"METTL27","gene","METTL27","Down-regulated","CMV_eg_AND_HIV_eg"
"MMP23B","gene","MMP23B","Down-regulated","CMV_eg_AND_HIV_eg"
"MPDZ","gene","MPDZ","Down-regulated","CMV_eg_AND_HIV_eg"
"MPP2","gene","MPP2","Down-regulated","CMV_eg_AND_HIV_eg"
"MXRA5","gene","MXRA5","Down-regulated","CMV_eg"
"MYL3","gene","MYL3","Down-regulated","CMV_eg"
"NDUFA4L2","gene","NDUFA4L2","Down-regulated","CMV_eg_AND_HIV_eg"
"NEURL1B","gene","NEURL1B","Down-regulated","CMV_eg"
"NKAIN4","gene","NKAIN4","Down-regulated","CMV_eg_AND_HIV_eg"
"NOTCH3","gene","NOTCH3","Down-regulated","CMV_eg"
"NPNT","gene","NPNT","Down-regulated","CMV_eg_AND_HIV_eg"
"NR2F1","gene","NR2F1","Down-regulated","CMV_eg_AND_HIV_eg"
"NT5C1A","gene","NT5C1A","Down-regulated","CMV_eg"
"ODAD3","gene","ODAD3","Down-regulated","CMV_eg"
"OGN","gene","OGN","Down-regulated","CMV_eg_AND_HIV_eg"
"OLFML1","gene","OLFML1","Down-regulated","CMV_eg"
