"Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Direction","Comparison"
"CORO6",311.979460991014,-3.96962100585022,1.41270823059597,-2.80993691399078,0.00495512116762381,0.035506021828347,"Downregulated","HIV_eg_vs_NT_eg"
"MAEL",72.2892284539443,-4.88446548402853,1.31431828438754,-3.71634903207989,0.000202122319099058,0.00669595830375403,"Downregulated","HIV_eg_vs_NT_eg"
"PPFIBP1",536.051414869989,-2.57750157282271,0.890636851081233,-2.89399834477276,0.00380370167124143,0.0302515265741278,"Downregulated","HIV_eg_vs_NT_eg"
"PPFIA4",74.2145495609659,-4.72141833768859,1.36301497741787,-3.46395191242357,0.000532301657676038,0.0102955573096053,"Downregulated","HIV_eg_vs_NT_eg"
"CFAP300",36.3579278499344,-5.40086253721983,2.01716386163568,-2.67745354749732,0.00741841385407062,0.0455213986532133,"Downregulated","HIV_eg_vs_NT_eg"
"CNTNAP1",384.548499476444,-4.15244700301399,1.42520556905615,-2.91357758710133,0.00357313033596493,0.0290470503570568,"Downregulated","HIV_eg_vs_NT_eg"
"MMP23B",188.313411071279,-6.41983799271199,1.39969177595131,-4.58660835407759,4.50504642045138e-06,0.00140809730917628,"Downregulated","HIV_eg_vs_NT_eg"
"CPZ",894.227066000001,-4.35194357225591,1.45403345380349,-2.99301474864419,0.00276236399680703,0.0251231244426746,"Downregulated","HIV_eg_vs_NT_eg"
"CHST1",69.4913815241218,-5.36645220674712,1.53163733038179,-3.5037355778012,0.000458780662333681,0.00962392508852452,"Downregulated","HIV_eg_vs_NT_eg"
"SHISAL1",540.306397259735,-4.31880571012028,1.38539387244259,-3.11738473514812,0.00182463281796288,0.0197338143108124,"Downregulated","HIV_eg_vs_NT_eg"
"BCAS1",6.32355930087068,-4.67964639079307,1.68161270518758,-2.78283244195105,0.00538866277277371,0.0376109939365481,"Downregulated","HIV_eg_vs_NT_eg"
"BARX2",27.2287967296673,-6.63270371184174,2.0921353642201,-3.17030332992543,0.0015227987957544,0.0177887558654679,"Downregulated","HIV_eg_vs_NT_eg"
"NKD1",361.856472069742,-3.9127085320639,1.29298927358979,-3.0260951208055,0.00247734354614748,0.0236216747646082,"Downregulated","HIV_eg_vs_NT_eg"
"RHPN2",118.327377947181,-3.97590796458948,1.2075938038146,-3.29242163385586,0.000993285753822329,0.0140805727221921,"Downregulated","HIV_eg_vs_NT_eg"
"STON2",369.011717524415,-2.04789247448942,0.774045246415459,-2.64570124805113,0.00815217789293865,0.0483316525458441,"Downregulated","HIV_eg_vs_NT_eg"
"KNDC1",145.405475065154,-5.04763515589855,1.40638627759771,-3.58908163162723,0.000331844926039999,0.00824960297677571,"Downregulated","HIV_eg_vs_NT_eg"
"DIXDC1",324.075403500816,-4.28692136918248,1.17179131430202,-3.65843415705466,0.000253760913960085,0.00719741481555028,"Downregulated","HIV_eg_vs_NT_eg"
"TANC1",312.513886098566,-3.79033173270919,1.3970541075871,-2.71308871440606,0.00666592582198,0.0426073982600832,"Downregulated","HIV_eg_vs_NT_eg"
"FHDC1",134.358417351803,-3.23392841144136,1.09069898500727,-2.96500542853242,0.0030267758848471,0.0262447175678562,"Downregulated","HIV_eg_vs_NT_eg"
"PLPP1",2224.14134243625,-4.74160082934287,1.13731463937142,-4.16911966592066,3.05778420297288e-05,0.00314805134004979,"Downregulated","HIV_eg_vs_NT_eg"
"PLPP3",8137.22631246553,-3.79256129405036,0.897391918905896,-4.22620397415019,2.37666573808074e-05,0.00297140257237806,"Downregulated","HIV_eg_vs_NT_eg"
"PDE8B",352.271919828585,-4.81119108541693,1.19813920889851,-4.01555265839269,5.93066545771632e-05,0.00396087349458079,"Downregulated","HIV_eg_vs_NT_eg"
"HSD17B6",156.274845686978,-5.731492104304,1.42095974195124,-4.03353588077985,5.49437865920077e-05,0.00388349360557656,"Downregulated","HIV_eg_vs_NT_eg"
"AOC3",580.152036260579,-5.39294957002371,1.44564286083227,-3.73048538898394,0.000191111226809096,0.00657860408055628,"Downregulated","HIV_eg_vs_NT_eg"
"PCDHGB4",139.734696026802,-3.53484342627686,0.992238266968822,-3.56249455796077,0.000367347525792758,0.00871437150399625,"Downregulated","HIV_eg_vs_NT_eg"
"DCHS1",902.089565627908,-2.47710494857463,0.573369087108562,-4.32026247014189,1.55843725881804e-05,0.00252328344686914,"Downregulated","HIV_eg_vs_NT_eg"
"KCNK5",84.425665606089,-4.67811080835379,1.6416935872086,-2.84956391667952,0.00437792083392542,0.0329884989356733,"Downregulated","HIV_eg_vs_NT_eg"
"CHRD",458.701163274967,-5.14505495597374,1.45510063451775,-3.53587568716779,0.000406425896748716,0.00904805232085505,"Downregulated","HIV_eg_vs_NT_eg"
"IRS2",3071.82619109091,-4.12095743216628,0.882427170386376,-4.67002555050735,3.01162275222206e-06,0.00125759969422015,"Downregulated","HIV_eg_vs_NT_eg"
"SERPINH1",6008.62894031685,-2.0871636073356,0.729133473635081,-2.86252611189291,0.00420278628519988,0.0322282355569694,"Downregulated","HIV_eg_vs_NT_eg"
"SERPINB7",169.064117370854,4.2899172848068,1.16528806283547,3.68142214927375,0.000231936611993163,0.0069975007185891,"Upregulated","HIV_eg_vs_NT_eg"
"TNK1",119.674251012653,-6.06492569305757,1.5077381332829,-4.0225325334526,5.75756983155467e-05,0.00390612057229524,"Downregulated","HIV_eg_vs_NT_eg"
"CTSF",401.536958582125,-4.75779039447554,1.13614155032985,-4.18767396817256,2.81827977664196e-05,0.00310501066045805,"Downregulated","HIV_eg_vs_NT_eg"
"ADAM23",64.9192386214187,-5.35106779208944,1.8594966206189,-2.87769697065027,0.00400589738682248,0.0312864389611502,"Downregulated","HIV_eg_vs_NT_eg"
"MPDZ",397.831317811273,-5.26217130679689,1.3654244495649,-3.8538721849266,0.000116264306440735,0.00535385341985695,"Downregulated","HIV_eg_vs_NT_eg"
"RGS11",105.156036151877,-5.89548836441144,1.83628817417112,-3.21054638772729,0.00132482883639232,0.0164190523831397,"Downregulated","HIV_eg_vs_NT_eg"
"DLK1",10862.6825875664,-7.27804380634809,1.75679856937185,-4.14278787177655,3.43109279340029e-05,0.00326517962593917,"Downregulated","HIV_eg_vs_NT_eg"
"INPP4B",252.441123442129,-3.22093544923736,1.03008843712678,-3.12685331972225,0.00176688056132642,0.0192826881371573,"Downregulated","HIV_eg_vs_NT_eg"
"KYAT1",122.836976721232,-2.43899226179764,0.609734560609495,-4.00008859487906,6.33187745222037e-05,0.0041059992042863,"Downregulated","HIV_eg_vs_NT_eg"
"SYNGAP1",491.142812718792,-2.17062211105329,0.62039762435144,-3.49875954686713,0.000467427908151404,0.00970686499594476,"Downregulated","HIV_eg_vs_NT_eg"
"CCN5",26.6404569470935,-8.09404477473914,2.58716985945074,-3.1285324174492,0.00175681630469274,0.019213103715702,"Downregulated","HIV_eg_vs_NT_eg"
"CCN4",243.185156205088,-5.39963868952447,1.43235823311046,-3.76975435663102,0.000163408298593502,0.00622696854712751,"Downregulated","HIV_eg_vs_NT_eg"
"KSR1",1242.64139692936,-2.30465604449984,0.766206379449262,-3.00787895574087,0.0026307789935194,0.0244870840445034,"Downregulated","HIV_eg_vs_NT_eg"
"APLN",145.652613338172,-4.76980101258166,1.58437753654402,-3.01052047417055,0.00260800364557256,0.0243767230699808,"Downregulated","HIV_eg_vs_NT_eg"
"GYG2",38.1510425472588,-6.41633891815109,1.87303366476083,-3.42563993315646,0.000613352895619478,0.0111071599684139,"Downregulated","HIV_eg_vs_NT_eg"
"SGCE",566.213878297281,-4.54793927180315,1.51233366498414,-3.00723271398633,0.00263637854445386,0.0244993794183634,"Downregulated","HIV_eg_vs_NT_eg"
"CACNA1G",161.071838939951,-3.02212135991856,0.929525950688013,-3.2512501212921,0.00114898726555713,0.0152522268422165,"Downregulated","HIV_eg_vs_NT_eg"
"NAV3",685.804991894013,-2.57800662793778,0.977003944128546,-2.63868599858855,0.00832280301713056,0.048823519340865,"Downregulated","HIV_eg_vs_NT_eg"
"CCNE1",172.344447560203,-3.39890114070021,1.08683642247226,-3.12733459278868,0.00176399047826941,0.0192646004153699,"Downregulated","HIV_eg_vs_NT_eg"
"SELENBP1",194.45453467637,-4.34973874839935,1.14804507775035,-3.78882226203425,0.000151363153792238,0.00609665816356982,"Downregulated","HIV_eg_vs_NT_eg"
"PAPLN",1174.06582998749,-3.03415852861771,0.792151195652968,-3.8302770295217,0.000127999072488494,0.00563484367563434,"Downregulated","HIV_eg_vs_NT_eg"
"KALRN",1172.8817145384,-5.32471229871379,1.46407466271869,-3.63691308531094,0.000275924983678594,0.00755455360524338,"Downregulated","HIV_eg_vs_NT_eg"
"CCNG2",986.419456537302,-2.79140434990196,0.691579625237652,-4.03627326201626,5.43069594626488e-05,0.00388349360557656,"Downregulated","HIV_eg_vs_NT_eg"
"PHLDB2",1376.21751840731,-4.93410815024758,1.54882472624376,-3.18571111801261,0.0014439870472226,0.017226434789309,"Downregulated","HIV_eg_vs_NT_eg"
"EMILIN3",5.91410013613272,-6.85538423045307,2.57784780715101,-2.65934405104757,0.00782929662582538,0.0471326069600921,"Downregulated","HIV_eg_vs_NT_eg"
"SNX21",412.354016063331,-3.31229513746071,0.955762300647558,-3.46560555403423,0.00052903881357775,0.0102653009754947,"Downregulated","HIV_eg_vs_NT_eg"
"RHBDL1",10.7494104151906,-3.52129768763533,1.26916285065422,-2.77450422207064,0.00552859164437516,0.0381629108738052,"Downregulated","HIV_eg_vs_NT_eg"
"KLHL13",243.335552529533,-4.71058920881159,1.48081416955416,-3.18108058773494,0.00146726807804105,0.0173853682076255,"Downregulated","HIV_eg_vs_NT_eg"
"SEMA5A",1213.82004504107,-5.01543677043261,1.47172959321192,-3.4078520901974,0.000654763758474562,0.0114331262764698,"Downregulated","HIV_eg_vs_NT_eg"
"TMEM263",907.570109136685,-2.328500589425,0.646413069319854,-3.60218674395772,0.000315551542833281,0.00805790769836359,"Downregulated","HIV_eg_vs_NT_eg"
