"Symbol","signcon","randomSummary","randomCi.lb","randomCi.ub","randomP","het_QE","het_QEp","het_QM","het_QMp","error","rank","virus","gestation"
"FAM110C",-3,-6.62903955748735,-11.7937302094719,-1.4643489055028,0.0118804965370577,3.63601646221304,0.162348790387706,6.32861644731464,0.0118804965370577,FALSE,2996,"HIV","Early/mid"
"ADGRF4",-3,-6.42135496028904,-11.4310959861472,-1.41161393443086,0.0119970682628941,4.85131804554586,0.0884198291560235,6.3113023377222,0.0119970682628941,FALSE,2999,"HIV","Early/mid"
"HGD",-3,-2.56707346020722,-4.57076013227019,-0.563386788144255,0.0120370245010807,2.57585395698697,0.275842017228971,6.30540746775047,0.0120370245010807,FALSE,3001,"HIV","Early/mid"
"NOX5",-3,-5.18494027487086,-9.23282870807895,-1.13705184166276,0.0120554224230771,0.398353469577255,0.8194050631544,6.30269991778984,0.0120554224230771,FALSE,3003,"HIV","Early/mid"
"PSORS1C1",-3,-4.57665407987113,-8.14991708410533,-1.00339107563692,0.0120617633139043,0.798016441753687,0.670985185244201,6.30176773700125,0.0120617633139043,FALSE,3005,"HIV","Early/mid"
"DOK6",-3,-5.7424138564454,-10.2274926687678,-1.25733504412303,0.0120931293622942,4.36937776588172,0.112512732840143,6.29716397248037,0.0120931293622942,FALSE,3009,"HIV","Early/mid"
"CHP2",-3,-3.88884999567092,-6.9281836967834,-0.849516294558441,0.0121489379937161,0.00271448343114541,0.998643678920409,6.28900287933867,0.0121489379937161,FALSE,3011,"HIV","Early/mid"
"CPEB1",-3,-3.75021438122053,-6.6814124997913,-0.819016262649767,0.0121552688916125,3.51071027771203,0.172845847114044,6.28807952251102,0.0121552688916125,FALSE,3013,"HIV","Early/mid"
"ARSI",-3,-3.34281741208266,-5.95603777298787,-0.72959705117746,0.0121700312972335,2.93100790567019,0.230961568406729,6.28592835384004,0.0121700312972336,FALSE,3015,"HIV","Early/mid"
"ANGPTL5",-3,-4.4008649156968,-7.84152767293722,-0.960202158456385,0.0121781217286351,0.862788251870269,0.649602834990204,6.28475055778458,0.0121781217286352,FALSE,3016,"HIV","Early/mid"
"NEDD9",-3,-2.46950040755827,-4.40188886103459,-0.537111954081954,0.0122541220704124,0.20871107997185,0.900904932746245,6.27372558794367,0.0122541220704124,FALSE,3021,"HIV","Early/mid"
