"Symbol","signcon","randomSummary","randomCi.lb","randomCi.ub","randomP","het_QE","het_QEp","het_QM","het_QMp","error","rank","virus","gestation"
"SAMD11",-3,-5.73925586096364,-10.1921042180594,-1.28640750386785,0.0115307559001429,0.000282231540402222,0.999858894186161,6.38162887490866,0.0115307559001429,FALSE,1435,"HIV","Term"
"IL18R1",-1,-8.73493200545368,-15.5151267842823,-1.95473722662508,0.0115690504854974,0,1,6.37574441067493,0.0115690504854974,FALSE,1436,"HIV","Term"
"GRAMD1C",-4,-6.09934992721066,-10.836835723092,-1.36186413132933,0.0116230680258796,4.68509773062412e-05,0.999999914711459,6.3674778146578,0.0116230680258796,FALSE,1439,"HIV","Term"
"ELOVL4",-3,-5.84536776221731,-10.3871377023296,-1.30359782210502,0.0116516975448432,4.59424049902561e-05,0.999977029061341,6.36311246118602,0.0116516975448432,FALSE,1441,"HIV","Term"
"ZNF385D",-6,-2.26013412024573,-4.01638875476914,-0.503879485722316,0.0116593925530914,1.90382323836153,0.862286481222336,6.36194102414256,0.0116593925530914,FALSE,1442,"HIV","Term"
"PCSK1N",-6,-3.65745768645754,-6.50776644609085,-0.807148926824235,0.0119037262928702,0.548505154737382,0.990239416016825,6.32515231127311,0.0119037262928702,FALSE,1451,"HIV","Term"
"TINAGL1",-1,-8.99112235534751,-16.0009034289359,-1.98134128175916,0.0119385578336521,0,1,6.31997104618176,0.0119385578336521,FALSE,1453,"HIV","Term"
"BMX",-4,-6.28336012701014,-11.1824087715439,-1.38431148247641,0.0119442910943772,0.000228696107324325,0.999999080234386,6.31911969962922,0.0119442910943772,FALSE,1455,"HIV","Term"
"HES7",-4,-6.28333562050078,-11.1823785836279,-1.38429265737363,0.0119445244011809,0.000228768682607777,0.999999079796548,6.31908506419143,0.0119445244011809,FALSE,1456,"HIV","Term"
"PON3",-6,-3.00787194825629,-5.35476169294583,-0.66098220356675,0.0120058706423562,1.45330737645384,0.918394416560799,6.31000196504861,0.0120058706423562,FALSE,1457,"HIV","Term"
"CLCA2",-6,-3.62217063745973,-6.45148841919073,-0.792852855728726,0.0121004973213509,1.0842365080372,0.955489452073729,6.29608431604914,0.0121004973213509,FALSE,1462,"HIV","Term"
"AGR2",-5,-5.40202942840589,-9.62392225541626,-1.18013660139551,0.0121475612152446,0.000237258882737948,0.999999992964084,6.28920374689555,0.0121475612152446,FALSE,1464,"HIV","Term"
"SPX",-2,-7.07606362995537,-12.6114224074754,-1.54070485243535,0.0122279119803267,0.000109259480622698,0.99166008318369,6.27751979407847,0.0122279119803267,FALSE,1465,"HIV","Term"
"ODAD1",-6,-2.58439892451401,-4.60616805157614,-0.562629797451888,0.0122314957076469,1.37044783257502,0.927518461367953,6.27700051637265,0.0122314957076469,FALSE,1466,"HIV","Term"
"SLC19A3",-1,-9.62546869739456,-17.1555812724525,-2.09535612233659,0.0122330070067342,0,1,6.27678157783058,0.0122330070067342,FALSE,1467,"HIV","Term"
"ADAMTS8",-1,-9.42707828243636,-16.8114623698655,-2.04269419500727,0.0123446463156397,0,1,6.26068500301134,0.0123446463156397,FALSE,1474,"HIV","Term"
"RSPO4",-6,-2.75479336637825,-4.9127280767365,-0.596858656019994,0.01234707894764,2.00969265008915,0.847802253805128,6.26033592395297,0.01234707894764,FALSE,1475,"HIV","Term"
"CACNA2D1",-1,-8.99951702763604,-16.0499458405285,-1.94908821474355,0.0123565366497325,0,1,6.25897942882552,0.0123565366497325,FALSE,1477,"HIV","Term"
"TUBB1",-6,-3.8365903300982,-6.84433490992912,-0.828845750267282,0.0124167967438041,0.906697856836154,0.969734841462859,6.25036144025429,0.0124167967438041,FALSE,1478,"HIV","Term"
"GPR87",-3,-6.86448834029961,-12.2507789001087,-1.47819778049055,0.0124948787450868,3.26537892264068e-05,0.99998367323867,6.23925837367685,0.0124948787450868,FALSE,1482,"HIV","Term"
"RBPMS2",-1,-8.66719678701504,-15.4718373083425,-1.86255626568761,0.0125446017539425,0,1,6.23222497589647,0.0125446017539425,FALSE,1484,"HIV","Term"
"DLK1",-1,-10.62135699392,-18.9675959918595,-2.27511799598045,0.0126229123577567,0,1,6.22120569384417,0.0126229123577567,FALSE,1485,"HIV","Term"
"AARD",-6,-4.71647631657649,-8.42576044641116,-1.00719218674182,0.0126969388157698,0.000395822488247061,0.999999999834217,6.21085364155489,0.0126969388157697,FALSE,1488,"HIV","Term"
"HAS1",-6,-2.15072465731489,-3.84447291592019,-0.456976398709592,0.0128187349460634,7.86770478675504,0.163678970541525,6.19395558685904,0.0128187349460634,FALSE,1492,"HIV","Term"
"CILP2",-1,-7.29850174597309,-13.0541610836583,-1.54284240828784,0.0129425846875672,0,1,6.17694098378179,0.0129425846875672,FALSE,1499,"HIV","Term"
"TPBG",-4,-2.18401521855645,-3.90637348047672,-0.461656956636175,0.0129439304835595,6.15130990674011,0.29177304446773,6.1767570174388,0.0129439304835595,FALSE,1500,"HIV","Term"
"FBXL16",-6,-2.47616558482294,-4.42938011625167,-0.522951053394202,0.0129652593163455,2.43043413311519,0.786933426823645,6.17384405092627,0.0129652593163455,FALSE,1503,"HIV","Term"
"CST2",-2,-7.04940828972712,-12.6317818841881,-1.46703469526615,0.0133222028083366,3.88979854620466e-05,0.995023765924573,6.12581273229322,0.0133222028083366,FALSE,1509,"HIV","Term"
"ABCA12",-3,-5.65688695186518,-10.1401086909587,-1.17366521277166,0.0133960116958242,4.75546749627651e-05,0.999976222945197,6.11604599303877,0.0133960116958243,FALSE,1513,"HIV","Term"
"ERICH2",-6,-4.66155352435452,-8.35727827755349,-0.965828771155548,0.0134293893361195,0.00039834223906157,0.999999999831567,6.11164746197988,0.0134293893361195,FALSE,1516,"HIV","Term"
"SGCD",-4,-6.14883224842678,-11.0240121484325,-1.2736523484211,0.0134356044056909,0.00022359769306928,0.999999110818021,6.11082967698517,0.0134356044056909,FALSE,1517,"HIV","Term"
"E2F5",-6,-2.61690778614338,-4.69453671340401,-0.539278858882752,0.0135604398459854,2.33624323786078,0.800929340345473,6.09448558118429,0.0135604398459854,FALSE,1523,"HIV","Term"
"ADARB2",-4,-5.99910433525892,-10.7635074758837,-1.23470119463417,0.0135911634058491,0.000240630177487874,0.99999900731241,6.09048682234093,0.0135911634058491,FALSE,1524,"HIV","Term"
"C11orf91",-6,-3.75270854337879,-6.73400613289027,-0.771410953867299,0.0136210486091064,0.663572690722181,0.984907918259532,6.08660608787061,0.0136210486091064,FALSE,1525,"HIV","Term"
"CITED4",-6,-2.25847960725743,-4.05333366358357,-0.463625550931284,0.0136540276691404,1.28636915689231,0.936328013022345,6.08233375265349,0.0136540276691404,FALSE,1528,"HIV","Term"
"EBF4",-1,-9.1022612815877,-16.3380593336083,-1.86646322956706,0.013680928684505,0,1,6.07885666171987,0.013680928684505,FALSE,1529,"HIV","Term"
"MAMSTR",-1,-7.1973950823344,-12.9196766938876,-1.47511347078123,0.0136932350158937,0,1,6.07726835048331,0.0136932350158937,FALSE,1530,"HIV","Term"
"GOLGA8S",-6,-2.22680246156258,-3.99937842543192,-0.454226497693233,0.0138084146396206,2.04738472048656,0.842550380143278,6.06247353173995,0.0138084146396206,FALSE,1533,"HIV","Term"
"FGF1",-3,-5.69852983958803,-10.2394224805774,-1.15763719859869,0.0139080532127887,0.000134331933110271,0.999932836289028,6.04977701110731,0.0139080532127887,FALSE,1536,"HIV","Term"
"PCDHGA1",-2,-6.19649756231079,-11.1354665236021,-1.25752860101952,0.0139325609682383,0.00033670423611774,0.985360036945543,6.04666843020476,0.0139325609682382,FALSE,1537,"HIV","Term"
"ACKR2",-1,-8.95814866076247,-16.0984248026855,-1.81787251883944,0.0139340396030047,0,1,6.04648105911478,0.0139340396030047,FALSE,1538,"HIV","Term"
"TMEM200A",-2,-7.37032736033786,-13.2503557779664,-1.49029894270931,0.0140212401907769,0.000243460138709642,0.987550945388774,6.03546711387669,0.0140212401907769,FALSE,1540,"HIV","Term"
"FAM83F",-6,-3.08066705249992,-5.54067689379161,-0.620657211208234,0.0141096246763361,1.29140939843532,0.935813158402802,6.02437532077298,0.0141096246763361,FALSE,1543,"HIV","Term"
"ZSCAN4",-6,-4.60574899518691,-8.28756010700643,-0.923937883367381,0.0142139601526033,0.00040015877056476,0.99999999982964,6.0113734086089,0.0142139601526032,FALSE,1545,"HIV","Term"
"MOXD1",-1,-7.53421481500682,-13.5687021965264,-1.49972743348726,0.0144024410472063,0,1,5.9881326494371,0.0144024410472063,FALSE,1554,"HIV","Term"
