Sample,Rep,GM-CSF, IFNγ,IL-1β,IL-1Ra,IL-2,IL-4,IL-5,IL-6,IL-8,IL-10,IL-12p40,IL-12p70,IL-13,MCP-1,TNF-α
J51,Replicate 1,29.04,1.98,"1,385.81","1,282.73",0.59,0.13,0.10,"2,916.64","11,854.66",46.24,13.05,1.43,18.33,"9,708.99","4,823.96"
J51,Replicate 2,25.60,1.74,"1,282.31","1,239.06",0.20,0.03,0.13,"2,276.83","10,254.79",44.74,10.12,1.55,12.99,"5,261.79","4,355.53"
J52,AVERAGE,17.59,2.09,874.17,974.89,0.40,0.04,0.29,"1,409.38","10,227.95",23.62,10.85,1.30,12.56,"10,588.52","3,482.25"
J52,Replicate 1,24.52,2.18,881.38,"1,056.06",0.20,0.06,0.33,"1,502.85","10,710.74",24.72,11.10,0.92,11.69,"12,656.54","3,402.23"
J52,Replicate 2,11.63,2.00,866.99,899.28,0.59,0.03,0.26,"1,328.25","9,779.66",22.52,10.61,1.67,13.41,"9,163.41","3,567.20"
J53,AVERAGE,15.49,1.62,314.67,785.84,0.38,0.07,0.08,"1,437.26","8,570.42",69.34,9.13,1.17,9.67,"6,863.11","1,484.12"
J53,Replicate 1,15.89,1.60,356.69,829.95,0.20,0.07,0.08,"1,459.52","8,452.40",69.41,5.12,0.39,7.07,"10,540.64","1,541.90"
J53,Replicate 2,15.08,1.64,273.07,743.59,0.57,0.08,0.09,"1,415.76","8,691.10",69.27,13.05,1.92,12.12,"5,215.77","1,430.37"
J54,AVERAGE,0.00,0.87,0.39,23.86,0.28,OOR <,0.05,16.73,"9,730.06",4.24,5.12,0.66,2.77,"10,183.61",5.47
J54,Replicate 1,0.69,0.89,0.30,25.19,0.25,OOR <,0.06,16.83,"10,170.81",4.27,5.12,0.92,2.77,"11,898.67",5.41
J54,Replicate 2,OOR <,0.86,0.48,22.54,0.30,OOR <,0.04,16.62,"9,319.49",4.21,5.12,0.39,2.77,"8,948.62",5.53
J55,AVERAGE,7.44,9.22,1.63,59.88,309.93,0.05,32.84,185.32,"9,321.96",7.74,6.64,0.92,153.50,"8,016.58",42.25
J55,Replicate 1,9.70,9.49,1.37,60.93,324.42,0.01,33.71,193.83,"9,221.62",7.68,6.13,0.92,156.53,"10,540.64",42.86
J55,Replicate 2,5.44,8.94,1.88,58.84,295.73,0.09,31.98,177.02,"9,424.07",7.81,7.14,0.92,150.47,"6,553.24",41.63
J56,AVERAGE,57.62,1.83,33.65,947.67,0.44,0.05,0.06,"3,500.63","9,008.92",850.04,65.09,1.36,8.51,"4,947.62","6,803.34"
