Symbol,log2FoldChange,padj,Direction,Comparison,ndeg,ddeg,idx,degvcount,virus.x,gestation.x,signcon,randomSummary,randomP,rank,virus.y,gestation.y,Shared_2,Shared
CSGALNACT1,-2.84915716136838,0.0113240665143178,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
CSH1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-3.00769256864857,0.000514953994552781,443,HIV,Term,FALSE,FALSE
CSH2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-7.35026235191386,0.000803985377741685,379,HIV,Term,FALSE,FALSE
CSMD1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-8.2688210535016,0.00169945768954738,562,HIV,Term,FALSE,FALSE
CSPG4,-4.76142244853846,8.1300818894716E-05,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
CSPG5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-6.47254048346766,0.00672254254922125,1142,HIV,Term,FALSE,FALSE
CSRNP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-2.36843990478024,0.00897815193772199,1294,HIV,Term,FALSE,FALSE
CSRP2,-3.98968598657695,0.0158566662978653,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
CST2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-7.04940828972712,0.0133222028083366,1509,HIV,Term,FALSE,FALSE
CTAG1B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-4.48823188728589,0.03954938400964,2507,HIV,Term,FALSE,FALSE
CTAGE4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-2.31168777678483,0.0412649952147847,2553,HIV,Term,FALSE,FALSE
CTAGE8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-3.1102403021741,0.0165234422369978,1657,HIV,Term,FALSE,FALSE
CTNND2,-3.95787392747951,0.0189829549009291,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-8.46458932248853,0.0265573722173978,2044,HIV,Term,FALSE,FALSE
CTSF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-2.25039411516985,0.00102476870435114,541,HIV,Term,FALSE,FALSE
CTSG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.69192338944555,0.017248171650149,1691,HIV,Term,FALSE,FALSE
CTXN1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-6.65325510059861,0.0337942894331309,2305,HIV,Term,FALSE,FALSE
CUBN,-3.24178249320347,0.0469780750854774,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-8.1518255663869,0.0185889681759867,1748,HIV,Term,FALSE,FALSE
CX3CL1,-6.79539257705906,0.0294331157870845,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
CX3CR1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-2.69864769239458,0.00146738455269682,579,HIV,Term,FALSE,FALSE
CXCL10,4.77726652901597,5.62983266856251E-06,Upregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
CXCL11,4.22271990041711,0.000488948487508767,Upregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,6,2.93640975912599,0.000615597178160875,452,HIV,Term,FALSE,FALSE
CXCL14,-4.50796527299832,0.0140691854312636,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
CXCL6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,-8.61519650455494,0.0184430516992715,1739,HIV,Term,FALSE,FALSE
CXCL9,3.93987556989113,0.0177292861837948,Upregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
CXCR4,NA,NA,NA,NA,4,-4,-16,0.Down-regulated,HIV,Term,NA,NA,NA,NA,NA,NA,FALSE,FALSE
CXCR6,-5.69060355081462,0.0385988090957339,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
CXXC4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-4.61482117101416,0.0342816137740696,2327,HIV,Term,FALSE,FALSE
CYP11A1,-6.42259362941907,0.000645450345753225,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-20.9988829681136,1.52476649979294E-05,236,HIV,Term,FALSE,FALSE
CYP19A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-3.02486041992829,0.00188651877396332,643,HIV,Term,FALSE,FALSE
CYP1A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5,-4.33531133211357,0.00713610907579489,1167,HIV,Term,FALSE,FALSE
CYP24A1,-4.32094809633379,0.0325083136412772,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-3,-6.48173856887109,0.00569993979874994,1056,HIV,Term,FALSE,FALSE
CYP26A1,NA,NA,NA,NA,5,-5,-25,0.Down-regulated,HIV,Term,-5,-18.8967518904076,1.30127543598189E-16,81,HIV,Term,TRUE,FALSE
CYP26B1,-4.8629459285503,0.00253368477829941,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
CYP2A6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-4.36279793360622,0.0454322877982039,2676,HIV,Term,FALSE,FALSE
CYP2B6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-2.83118729897713,0.0114186129713962,1429,HIV,Term,FALSE,FALSE
CYP2E1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6,-2.84215295391187,0.00113015470928816,526,HIV,Term,FALSE,FALSE
CYP2J2,-20.2393931884647,1.18748690824424E-18,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
CYP4B1,-5.43550322313296,0.0130427510027054,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-2,-21.8056949802695,7.37167057244633E-09,145,HIV,Term,FALSE,FALSE
CYP7B1,-5.32568754834629,0.00553879814687404,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-2,-9.44510452494925,0.000298678308311808,302,HIV,Term,FALSE,FALSE
CYSLTR2,-4.78432203800576,0.0162332957519658,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-21.8802630259054,8.34311114402464E-07,198,HIV,Term,FALSE,FALSE
CYYR1,-8.94825003791097,0.00213713580426144,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
DAAM2,-8.48263883636044,1.90716260434551E-05,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,-1,-23.8536835851929,1.49976467003948E-06,190,HIV,Term,FALSE,FALSE
DAB2IP,-3.151777614118,0.0171375647927008,Downregulated,HIV_T_vs_NT_T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
