Symbol,log2FoldChange,padj,Direction,Comparison,ndeg,ddeg,idx,degvcount,virus.x,gestation.x,signcon,randomSummary,randomP,rank,virus.y,gestation.y,Shared_between_3,Shared_between_rem_vote
HOXA4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.07417086145831,0.0198075878831774,3590,HIV,Early/mid,FALSE,FALSE
HOXA5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.92899175731589,0.00807635883100883,2627,HIV,Early/mid,FALSE,FALSE
HOXA6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.51038816521706,0.00277357702298351,1541,HIV,Early/mid,FALSE,FALSE
HOXA7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.26371446856461,0.0134824721074599,3126,HIV,Early/mid,FALSE,FALSE
HOXA9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.58455574942881,0.0178985742849971,3477,HIV,Early/mid,FALSE,FALSE
HOXB13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.55442649780878,0.00912809830630881,2725,HIV,Early/mid,FALSE,FALSE
HOXB9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-2.89665440470145,0.0433646316869319,4718,HIV,Early/mid,FALSE,FALSE
HOXC11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.99142387115719,0.023026304832535,3800,HIV,Early/mid,FALSE,FALSE
HOXC12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.1575287770543,0.018010187829468,3483,HIV,Early/mid,FALSE,FALSE
HOXC13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.87002394664828,0.0231274309598874,3810,HIV,Early/mid,FALSE,FALSE
HOXC4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.02471768752431,0.000454865806978638,967,HIV,Early/mid,FALSE,FALSE
HOXC5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.55510481799559,0.0069299697095122,2492,HIV,Early/mid,FALSE,FALSE
HOXC6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.95794531290153,0.000686328928141412,942,HIV,Early/mid,FALSE,FALSE
HOXC8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.77521309182593,0.00277928836136558,1627,HIV,Early/mid,FALSE,FALSE
HOXC9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.4222579966161,0.000588738726824494,1139,HIV,Early/mid,FALSE,FALSE
HOXD10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.2504458035123,0.0495611326707523,4943,HIV,Early/mid,FALSE,FALSE
HOXD11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-5.06453431110945,0.0228862686499415,3791,HIV,Early/mid,FALSE,FALSE
HOXD4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.81849633953176,0.00585991770563397,2222,HIV,Early/mid,FALSE,FALSE
HOXD8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.68774690872996,0.0381225241000886,4516,HIV,Early/mid,FALSE,FALSE
HOXD9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-3.68245154663755,0.00929395690971541,2749,HIV,Early/mid,FALSE,FALSE
HPCAL4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3,-4.94752629602374,0.0130511320929321,3092,HIV,Early/mid,FALSE,FALSE
